bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"22.18571254301787,47.53529824243037,22.21604036230542,47.56409623726643",uuuu,85633745,,77626c7e1ef0c56d47f44395924fdf46,,341abc35971eec0b39c41b3cc67eb223,47.547426,22.201650,101780129,uuuu,RO,RO,1514499886,47.546650,22.201420,101780129,Curtuişeni,85687737,101/780/129/101780129.geojson,locality,85687737,quattroshapes,,,RO
"27.7839480587208,46.7579500681295,27.79522644687682,46.77883641954998",uuuu,85633745,,f60e45b0ef7ed41c2f5dc67116a69490,,d47f508ae25689a537e16d19213c73ea,46.765989,27.790029,101780131,uuuu,RO,RO,1514500160,46.762951,27.789474,101780131,Soleşti,85687743,101/780/131/101780131.geojson,locality,85687743,quattroshapes,,,RO
"27.68444037087812,46.77379926109307,27.71099748266727,46.79072420143507",uuuu,85633745,,e49407547362712accee6d033017aafb,,e25eea4cd5eedff2db5d8b5143aea4d2,46.781142,27.697334,101780133,uuuu,RO,RO,1514499925,46.779865,27.698240,101780133,Fereşti,85687743,101/780/133/101780133.geojson,locality,85687743,quattroshapes,,,RO
"27.87507875387018,46.7733868206472,27.9066088678054,46.81249648253345",uuuu,85633745,,180b383cec38f23ff3f155b92c8cdecc,,a67fc5f1435110bc043442f960c7c4c1,46.793547,27.889487,101780135,uuuu,RO,RO,1505337899,46.791278,27.889487,101780135,Boteşti,85687743,101/780/135/101780135.geojson,locality,85687743,quattroshapes,,,RO
"26.62246026547757,46.98004158101776,26.65678299285838,47.0052563190747",uuuu,85633745,,a5153f5712bc1ecaaae49449b7c96b4f,,408ca1177500d4a19ae6d591e92e82e2,46.993257,26.642286,101780139,uuuu,RO,RO,1514499816,46.986339,26.643716,101780139,Bârgăuani,85687747,101/780/139/101780139.geojson,locality,85687747,quattroshapes,,,RO
"26.83560142626527,46.86965044057337,26.88123367344866,46.91722871703257",uuuu,85633745,,bf6157186dde78564beab7bca5a3959c,,96cc22f5b6a61a37957db052680361d9,46.899340,26.859277,101780137,uuuu,RO,RO,1514500206,46.910102,26.853182,101780137,Trifeşti,85687747,101/780/137/101780137.geojson,locality,85687747,quattroshapes,,,RO
"26.38304814475867,46.97469419439568,26.42655166732152,47.00925139342019",uuuu,85633745,,b03f2c9dafcada61615c5818710cb95d,,113bf6f3805ab2d36ac42624e31005ae,46.995347,26.407943,101780141,uuuu,RO,RO,1514499908,46.999062,26.413051,101780141,Dobreni,85687747,101/780/141/101780141.geojson,locality,85687747,quattroshapes,,,RO
"24.81306813039168,47.20773916710328,24.87255390830779,47.22619275083514",uuuu,85633745,,1b4af8ba402bea379240fc716b027b77,,e7fe57919f12a3cbd5c4d27babc1fb93,47.215986,24.845794,101780147,uuuu,RO,RO,1514500034,47.211581,24.855708,101780147,Mureşenii Bârgăului,85687753,101/780/147/101780147.geojson,locality,85687753,quattroshapes,,,RO
"24.78132068179758,47.17814086062356,24.81333921997941,47.20073057841927",uuuu,85633745,,95487bf83afb6eaa77569e085f92a87d,,16ba8c4e6b1be4d2a31a5244eea85ef4,47.188962,24.796017,101780143,uuuu,RO,RO,1514499774,47.185705,24.801353,101780143,Bistriţa Bârgăului,85687753,101/780/143/101780143.geojson,locality,85687753,quattroshapes,,,RO
"24.26245278039926,47.31825144310295,24.2827025533503,47.34198626783189",uuuu,85633745,,8a46a3ce031092dfd356ef7d839b0cfc,,9785e7c3418fe21b89a379caef87ff76,47.328454,24.273746,101780149,uuuu,RO,RO,1514500256,47.325875,24.275587,101780149,Zagra,85687753,101/780/149/101780149.geojson,locality,85687753,quattroshapes,,,RO
