bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"0,0,0,0",uuuu,0,,acb7d84762a96ed31df066a84f7d12f3,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538889521,uuuu,RO,RO,1474579662,0.000000,0.000000,0,3411317,-1,538/889/521/538889521.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,eac054ee5918e78f06fc3dcb944b7b95,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538889591,uuuu,RO,RO,1474579662,0.000000,0.000000,0,5211804,-1,538/889/591/538889591.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,a02a968014a8221ecb2a014a2d12e679,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538890213,uuuu,RO,RO,1474579664,0.000000,0.000000,0,5229113,-1,538/890/213/538890213.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,0dbd51294203c0cc75853828cf4e1f1d,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538889803,uuuu,RO,RO,1474579663,0.000000,0.000000,0,5221310,-1,538/889/803/538889803.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,85633745,,4a24092ca85c8fb7a1e96c2ce463c09b,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538889593,uuuu,RO,RO,1474579662,0.000000,0.000000,101789787,5211805,101789787,538/889/593/538889593.geojson,postalcode,85687697,geoplanet,,,RO
"0,0,0,0",uuuu,0,,9fb54c2f7d2bc58ae9cd861c6c2090c6,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538889523,uuuu,RO,RO,1474579662,0.000000,0.000000,0,3412642,-1,538/889/523/538889523.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,825ca64bd29804c45ee08bffae29b3a9,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538890221,uuuu,RO,RO,1474579664,0.000000,0.000000,0,5229116,-1,538/890/221/538890221.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,10dd1143273ccfb90282aef412a6b238,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538889641,uuuu,RO,RO,1474579663,0.000000,0.000000,0,5219120,-1,538/889/641/538889641.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,d273b82647a8df626cb55122e0d4ca2e,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538890115,uuuu,RO,RO,1474579663,0.000000,0.000000,0,5222600,-1,538/890/115/538890115.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,4c7e822b2b67f173744ca7e6d6bf3e06,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538890117,uuuu,RO,RO,1474579663,0.000000,0.000000,0,5222601,-1,538/890/117/538890117.geojson,postalcode,0,geoplanet,,,RO
