bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"22.83829099999977,43.70087849999984,24.26387549999978,44.72816699999984",uuuu,85633745,,d42292b509702046793bf218709bed97,,fb60f692ada35773db67869c66e68ed6,44.141139,23.611407,85687581,uuuu,RO,RO,1536617237,44.197101,23.600363,0,Dolj,85633745,856/875/81/85687581.geojson,region,85687581,quattroshapes,,,RO
"24.59141699999978,43.61902599999985,25.71374349999977,44.51813099999984",uuuu,85633745,,84d193b2e902ba36c2e137155c20e262,,d2c88c0671a2079adf0c6bc26989b775,44.027266,25.196006,85687585,uuuu,RO,RO,1536617237,44.051642,25.241148,0,Teleorman,85633745,856/875/85/85687585.geojson,region,85687585,quattroshapes,,,RO
"25.42565649999977,43.69004499999986,26.42846099999977,44.55390099999985",uuuu,85633745,,4df99f3b114af7d3f17b1093943f45e4,,63f674bbdb0c404f56583c560c10b58f,44.143620,25.879974,85687591,uuuu,RO,RO,1536617238,44.075461,25.913626,0,Giurgiu,85633745,856/875/91/85687591.geojson,region,85687591,quattroshapes,,,RO
"25.96371049999976,44.33432649999986,26.22780899999978,44.54141499999986",uuuu,85633745,,bf6b218a26b92b1c4e68b8d3684203ef,,5a8277ef33725a51065185a3e3ba9b04,44.441479,26.087654,85687595,uuuu,RO,RO,1537304039,44.435842,26.085733,0,Bucureşti,85633745,856/875/95/85687595.geojson,region,85687595,quattroshapes,,,RO
"23.88203849999977,43.68235449999986,24.88654849999978,44.90146149999984",uuuu,85633745,,b0324dfb29b424213402b5ee70b24904,,85d07f2f5b12f89461703d0f6a0a4730,44.272253,24.438206,85687607,uuuu,RO,RO,1536617238,44.291298,24.487176,0,Olt,85633745,856/876/07/85687607.geojson,region,85687607,quattroshapes,,,RO
"25.82375949999977,44.21560049999985,26.46345599999978,44.76892299999986",uuuu,85633745,,ebd889badd5a67e7ecc0276b289b5f65,,06fcae724c4a8683bf1167d136823c5a,44.521464,26.147147,85687611,uuuu,RO,RO,1536617238,44.607618,26.213713,0,Ilfov,85633745,856/876/11/85687611.geojson,region,85687611,quattroshapes,,,RO
"26.25247549999978,44.03311549999984,28.01698149999975,44.59551299999984",uuuu,85633745,,bc4638b22949ed199d4c33fef1f2bbba,,d64522e401289f0b2afd86115e743b04,44.313176,27.019001,85687615,uuuu,RO,RO,1536617238,44.328376,26.931810,0,Călăraşi,85633745,856/876/15/85687615.geojson,region,85687615,quattroshapes,,,RO
"22.55883449999979,44.56825149999986,23.85553699999977,45.35307249999985",uuuu,85633745,,501b4eae80030f614c4e3ccd96a19f71,,04419a066a2426c946f22aa354a46d52,45.004728,23.318506,85687619,uuuu,RO,RO,1536617238,44.982170,23.383098,0,Gorj,85633745,856/876/19/85687619.geojson,region,85687619,quattroshapes,,,RO
"26.30181849999977,44.33413399999983,28.11045999999976,44.85699999999986",uuuu,85633745,,94ad21f0dd4f774438c1834e3ba3858d,,439e0fa2481e8e490af5d054830c4a0b,44.627040,27.254534,85687621,uuuu,RO,RO,1536617238,44.643615,27.344059,0,Ialomiţa,85633745,856/876/21/85687621.geojson,region,85687621,quattroshapes,,,RO
"27.27482999999978,43.73371549999984,28.99190499999978,44.80377249999984",uuuu,85633745,,1a35abec24a9e06be80ae50c52c0a412,,1c68b5d3ef727382727273ccfdf1858c,44.244141,28.246469,85687633,uuuu,RO,RO,1536617238,44.154529,28.305084,0,Constanţa,85633745,856/876/33/85687633.geojson,region,85687633,quattroshapes,,,RO
"23.57602699999978,44.49025999999984,24.54051849999976,45.59082199999986",uuuu,85633745,,af92da0951253a7d5c705431b39c4c45,,443ac515189821d8ceb4552038354898,45.095729,24.109088,85687643,uuuu,RO,RO,1536617239,45.144043,24.166030,0,Vâlcea,85633745,856/876/43/85687643.geojson,region,85687643,quattroshapes,,,RO
"29.49620149999975,44.77658849999986,29.62124499999976,44.87756349999984",uuuu,85633745,2018-06-04,cc05bbd7d1a9fe71440f51964f3a50fe,,56fbf62b925e7126047824c94e5b8db1,44.805441,29.556925,85687651,uuuu,RO,RO,1529540751,44.785724,29.530061,0,Tulcea,85633745,856/876/51/85687651.geojson,region,85687651,quattroshapes,85687679,,RO
"20.26195149999978,45.19388249999986,22.55145399999978,46.18996049999984",uuuu,85633745,,6e21badfc10ab7e95a7cc6f15f1c3ab8,,e372e8820e3436070a1042864ea73914,45.743534,21.376385,85687655,uuuu,RO,RO,1536617239,45.658785,21.168268,0,Timiş,85633745,856/876/55/85687655.geojson,region,85687655,quattroshapes,,,RO
"27.06627249999977,44.74968199999984,28.19748299999978,45.49176949999986",uuuu,85633745,,7f117fcc66979c8a337a8d31d7521f13,,32c191dd6f22bf574e1ccf97f0337191,45.087516,27.671684,85687663,uuuu,RO,RO,1536617239,45.105486,27.682118,0,Brăila,85633745,856/876/63/85687663.geojson,region,85687663,quattroshapes,,,RO
"26.07218149999977,44.73527999999985,27.44174249999978,45.80244299999984",uuuu,85633745,,884b3440acd3852119192a58edc0f82d,,4652a87f67585321f7d10d266218d08d,45.245207,26.748803,85687667,uuuu,RO,RO,1536617239,45.212938,26.758679,0,Buzău,85633745,856/876/67/85687667.geojson,region,85687667,quattroshapes,,,RO
"27.99418549999976,44.61276899999984,29.71524749999978,45.46655299999983",uuuu,85633745,,6dc645250348815e195ad5103df40709,,3e0dffa00179befecf09e960022e475b,45.047844,28.858974,85687679,uuuu,RO,RO,1536617239,44.989885,28.929893,0,Tulcea,85633745,856/876/79/85687679.geojson,region,85687679,quattroshapes,,85687651,RO
"24.63927549999977,45.38108899999985,26.10454299999978,46.19051899999985",uuuu,85633745,,58afab208cdfd2ffb9f909ffb6fb8263,,fd2122c502e3754a3c44b7a98922e838,45.764946,25.300638,85687683,uuuu,RO,RO,1536617240,45.836583,25.250644,0,Braşov,85633745,856/876/83/85687683.geojson,region,85687683,quattroshapes,,,RO
"20.70655999999977,45.90190449999986,22.74871749999977,46.68091349999986",uuuu,85633745,,79a20e58da680081961e1691f7919a23,,4995734a42671810176d18f65c3fa973,46.273080,21.756907,85687691,uuuu,RO,RO,1536617240,46.320335,21.742031,0,Arad,85633745,856/876/91/85687691.geojson,region,85687691,quattroshapes,,,RO
"25.45051399999977,45.51636599999983,26.44563049999976,46.27703099999985",uuuu,85633745,,a47fc7754ebce17bb4e6b4a325f4a0fc,,a9075137086eec21a904bec2b964ab00,45.937842,25.989235,85687699,uuuu,RO,RO,1536617240,45.894848,26.106418,0,Covasna,85633745,856/876/99/85687699.geojson,region,85687699,quattroshapes,,,RO
"26.37098499999976,45.37116049999986,27.55854249999976,46.20598749999985",uuuu,85633745,,8f3ec370d33901fb3cfad4e229b9ee19,,fedece94168cfb274f3a10833c81eb94,45.787781,26.978660,85687705,uuuu,RO,RO,1536617240,45.801319,26.938409,0,Vrancea,85633745,856/877/05/85687705.geojson,region,85687705,quattroshapes,,,RO
"25.97304399999976,46.01685199999986,27.51012149999977,46.82859199999984",uuuu,85633745,,342fb6e7b9346fe9b8deffb8c3b1081e,,2cccc8719ed597fce45472f296d5edcf,46.421504,26.771783,85687715,uuuu,RO,RO,1536617240,46.408771,26.771729,0,Bacău,85633745,856/877/15/85687715.geojson,region,85687715,quattroshapes,,,RO
"22.49365099999977,46.85335799999984,23.84214049999977,47.45904199999984",uuuu,85633745,,19d2cdd6699719b03dbe56259f2d4914,,e49d06dd03aa5fecf3dd1215b768d8db,47.184072,23.105270,85687723,uuuu,RO,RO,1536617241,47.124798,23.059738,0,Sălaj,85633745,856/877/23/85687723.geojson,region,85687723,quattroshapes,,,RO
"24.85368899999978,46.10209199999985,26.29294449999978,47.18402349999985",uuuu,85633745,,91773df605aa10812388d0688aafcf7a,,9d4458193060bf5b38a48a6165ccd8a9,46.549267,25.556462,85687733,uuuu,RO,RO,1536617241,46.546164,25.545732,0,Harghita,85633745,856/877/33/85687733.geojson,region,85687733,quattroshapes,,,RO
